## Mon Sep  5 19:20:36 2022
## emapper-2.1.9
## /data/shared/home/emapper/miniconda3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_jwnvvp3e --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_jwnvvp3e --override -m diamond --dmnd_ignore_warnings --dmnd_algo ctg -i /emapper_web_jobs/emapper_jobs/user_data/MM_jwnvvp3e/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype proteins --tax_scope auto --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
Csc_00002	411468.CLOSCI_00002	1.59e-244	671.0	COG0583@1|root,COG0583@2|Bacteria,1TP6T@1239|Firmicutes,24970@186801|Clostridia,21ZAX@1506553|Lachnoclostridium	186801|Clostridia	K	Transcriptional regulator	-	-	-	-	-	-	-	-	-	-	-	-	HTH_1,LysR_substrate
Csc_00003	411468.CLOSCI_00003	8.66e-125	356.0	COG2059@1|root,COG2059@2|Bacteria,1V22C@1239|Firmicutes,24G7P@186801|Clostridia,21ZCZ@1506553|Lachnoclostridium	186801|Clostridia	P	Chromate	-	-	-	ko:K07240	-	-	-	-	ko00000,ko02000	2.A.51.1	-	-	Chromate_transp
Csc_00004	411468.CLOSCI_00004	1.16e-120	345.0	COG2059@1|root,COG2059@2|Bacteria,1V42U@1239|Firmicutes,24HA0@186801|Clostridia,21ZDQ@1506553|Lachnoclostridium	186801|Clostridia	P	Chromate	-	-	-	ko:K07240	-	-	-	-	ko00000,ko02000	2.A.51.1	-	-	Chromate_transp
Csc_00005	411468.CLOSCI_00005	1.02e-289	788.0	COG0641@1|root,COG0641@2|Bacteria,1TQPS@1239|Firmicutes,247Z9@186801|Clostridia,21Y6T@1506553|Lachnoclostridium	186801|Clostridia	C	Iron-sulfur cluster-binding domain	-	-	-	ko:K06871	-	-	-	-	ko00000	-	-	-	Fer4_12,Radical_SAM,SEC-C,SPASM
Csc_00006	411468.CLOSCI_00006	4.2e-191	531.0	COG2207@1|root,COG2207@2|Bacteria,1TR2K@1239|Firmicutes,24ABH@186801|Clostridia,222EH@1506553|Lachnoclostridium	186801|Clostridia	K	AraC-like ligand binding domain	-	-	-	-	-	-	-	-	-	-	-	-	AraC_binding,HTH_18,HTH_AraC
Csc_00007	411468.CLOSCI_00007	0.0	1052.0	COG3119@1|root,COG3119@2|Bacteria,1TSUU@1239|Firmicutes,25CDH@186801|Clostridia	186801|Clostridia	P	Psort location Cytoplasmic, score	-	-	-	ko:K01138	-	-	-	-	ko00000,ko01000	-	-	-	DUF4976,Sulfatase
Csc_00008	411468.CLOSCI_00008	0.0	877.0	COG2211@1|root,COG2211@2|Bacteria,1TRA5@1239|Firmicutes,24ABB@186801|Clostridia,2212F@1506553|Lachnoclostridium	186801|Clostridia	P	COG COG2211 Na melibiose symporter and related transporters	-	-	-	-	-	-	-	-	-	-	-	-	MFS_2
Csc_00009	411468.CLOSCI_00009	4.17e-50	158.0	COG1476@1|root,COG1476@2|Bacteria,1VEKB@1239|Firmicutes,25FMY@186801|Clostridia,223PM@1506553|Lachnoclostridium	186801|Clostridia	K	Helix-turn-helix XRE-family like proteins	-	-	-	-	-	-	-	-	-	-	-	-	HTH_3
Csc_00011	411468.CLOSCI_00011	3.37e-174	486.0	COG1691@1|root,COG1691@2|Bacteria,1TP0Z@1239|Firmicutes,24815@186801|Clostridia,21YD5@1506553|Lachnoclostridium	186801|Clostridia	S	Psort location Cytoplasmic, score 8.87	-	-	-	ko:K06898	-	-	-	-	ko00000	-	-	-	AIRC
Csc_00012	411468.CLOSCI_00012	2.42e-199	552.0	COG1606@1|root,COG1606@2|Bacteria,1TPB2@1239|Firmicutes,2485J@186801|Clostridia,21XMQ@1506553|Lachnoclostridium	186801|Clostridia	S	Asparagine synthase	-	-	-	ko:K06864	-	-	-	-	ko00000	-	-	-	ATP_bind_3,Asn_synthase,NAD_synthase,QueC
Csc_00014	411468.CLOSCI_00014	3.59e-219	604.0	COG0564@1|root,COG0564@2|Bacteria,1TS1T@1239|Firmicutes,249AH@186801|Clostridia,21Y3D@1506553|Lachnoclostridium	186801|Clostridia	J	Responsible for synthesis of pseudouridine from uracil	rluD_2	-	5.4.99.23	ko:K06180	-	-	-	-	ko00000,ko01000,ko03009	-	-	-	PseudoU_synth_2
Csc_00015	411468.CLOSCI_00015	2.18e-144	406.0	COG1180@1|root,COG1180@2|Bacteria,1UK6G@1239|Firmicutes,25FMZ@186801|Clostridia	186801|Clostridia	O	4Fe-4S single cluster domain	-	-	-	-	-	-	-	-	-	-	-	-	Fer4_14,Radical_SAM
Csc_00016	411468.CLOSCI_00016	1.82e-114	329.0	COG4720@1|root,COG4720@2|Bacteria,1V8B5@1239|Firmicutes,24J8T@186801|Clostridia,223ZW@1506553|Lachnoclostridium	186801|Clostridia	S	Psort location CytoplasmicMembrane, score 9.99	-	-	-	-	-	-	-	-	-	-	-	-	ECF-ribofla_trS
Csc_00017	411468.CLOSCI_00017	2.09e-199	552.0	COG2240@1|root,COG2240@2|Bacteria,1TRCR@1239|Firmicutes,24ABV@186801|Clostridia,21YVT@1506553|Lachnoclostridium	186801|Clostridia	H	Phosphomethylpyrimidine kinase	-	-	2.7.1.35	ko:K00868	ko00750,ko01100,map00750,map01100	-	R00174,R01909,R02493	RC00002,RC00017	ko00000,ko00001,ko01000	-	-	-	Phos_pyr_kin
Csc_00018	411468.CLOSCI_00018	2.72e-45	147.0	COG1278@1|root,COG1278@2|Bacteria,1VEE0@1239|Firmicutes,24QJE@186801|Clostridia,22171@1506553|Lachnoclostridium	186801|Clostridia	K	Psort location Cytoplasmic, score	cspA	-	-	ko:K03704	-	-	-	-	ko00000,ko03000	-	-	-	CSD
Csc_00019	411468.CLOSCI_00019	5.3e-79	234.0	COG1393@1|root,COG1393@2|Bacteria,1VA5Q@1239|Firmicutes,24JGY@186801|Clostridia,220XZ@1506553|Lachnoclostridium	186801|Clostridia	P	Belongs to the ArsC family	arsC	-	1.20.4.1	ko:K00537	-	-	-	-	ko00000,ko01000	-	-	-	ArsC,Glutaredoxin
Csc_00020	411468.CLOSCI_00020	1.28e-226	624.0	COG1816@1|root,COG1816@2|Bacteria,1U44B@1239|Firmicutes,247KD@186801|Clostridia,21Z1H@1506553|Lachnoclostridium	186801|Clostridia	F	Adenosine/AMP deaminase	add	-	3.5.4.4	ko:K01488	ko00230,ko01100,ko05340,map00230,map01100,map05340	-	R01560,R02556	RC00477	ko00000,ko00001,ko01000	-	-	iHN637.CLJU_RS13960	A_deaminase
Csc_00021	411468.CLOSCI_00021	1.31e-216	597.0	COG3757@1|root,COG3757@2|Bacteria,1UZPC@1239|Firmicutes,25BIT@186801|Clostridia,2245A@1506553|Lachnoclostridium	186801|Clostridia	M	Glycosyl hydrolase family 25	-	-	-	-	-	-	-	-	-	-	-	-	Glyco_hydro_25
Csc_00022	411468.CLOSCI_00022	1.64e-124	356.0	COG1971@1|root,COG1971@2|Bacteria,1V4QK@1239|Firmicutes,24FY0@186801|Clostridia,21ZZM@1506553|Lachnoclostridium	186801|Clostridia	P	Probably functions as a manganese efflux pump	mntP	-	-	-	-	-	-	-	-	-	-	-	Mntp
Csc_00023	411468.CLOSCI_00023	1.45e-232	639.0	COG2264@1|root,COG2264@2|Bacteria,1TPKI@1239|Firmicutes,247VY@186801|Clostridia,21Y4M@1506553|Lachnoclostridium	186801|Clostridia	J	Methylates ribosomal protein L11	prmA	-	-	ko:K02687	-	-	-	-	ko00000,ko01000,ko03009	-	-	-	PrmA
Csc_00024	411468.CLOSCI_00024	5.38e-166	465.0	COG1385@1|root,COG1385@2|Bacteria,1V1CT@1239|Firmicutes,249VK@186801|Clostridia,21YXU@1506553|Lachnoclostridium	186801|Clostridia	J	Specifically methylates the N3 position of the uracil ring of uridine 1498 (m3U1498) in 16S rRNA. Acts on the fully assembled 30S ribosomal subunit	rsmE	-	2.1.1.193	ko:K09761	-	-	-	-	ko00000,ko01000,ko03009	-	-	-	Methyltrans_RNA
Csc_00025	411468.CLOSCI_00025	1.19e-278	761.0	COG1104@1|root,COG1104@2|Bacteria,1TP21@1239|Firmicutes,24888@186801|Clostridia,21Y1J@1506553|Lachnoclostridium	186801|Clostridia	E	Cysteine sulfinate desulfinase cysteine desulfurase and related enzymes	iscS	-	2.8.1.7	ko:K04487	ko00730,ko01100,ko04122,map00730,map01100,map04122	-	R07460,R11528,R11529	RC01789,RC02313	ko00000,ko00001,ko01000,ko02048,ko03016,ko03029	-	-	-	Aminotran_5
Csc_00026	411468.CLOSCI_00026	7.88e-288	785.0	COG0301@1|root,COG0301@2|Bacteria,1TPNW@1239|Firmicutes,247Y5@186801|Clostridia,21YHI@1506553|Lachnoclostridium	186801|Clostridia	H	Catalyzes the ATP-dependent transfer of a sulfur to tRNA to produce 4-thiouridine in position 8 of tRNAs, which functions as a near-UV photosensor. Also catalyzes the transfer of sulfur to the sulfur carrier protein ThiS, forming ThiS-thiocarboxylate. This is a step in the synthesis of thiazole, in the thiamine biosynthesis pathway. The sulfur is donated as persulfide by IscS	thiI	-	2.8.1.4	ko:K03151	ko00730,ko01100,ko04122,map00730,map01100,map04122	-	R07461	-	ko00000,ko00001,ko01000,ko03016	-	-	-	THUMP,ThiI
Csc_00027	411468.CLOSCI_00027	2.9e-47	152.0	COG1925@1|root,COG1925@2|Bacteria,1VAQP@1239|Firmicutes,24N19@186801|Clostridia,220RW@1506553|Lachnoclostridium	186801|Clostridia	G	phosphocarrier protein HPr	-	-	-	-	-	-	-	-	-	-	-	-	PTS-HPr
Csc_00028	411468.CLOSCI_00028	5.39e-310	844.0	COG0621@1|root,COG0621@2|Bacteria,1TPBR@1239|Firmicutes,247IX@186801|Clostridia,21XTM@1506553|Lachnoclostridium	186801|Clostridia	J	Uncharacterized protein family UPF0004	yqeV	-	2.8.4.5	ko:K18707	-	-	R10649	RC00003,RC03221	ko00000,ko01000,ko03016	-	-	-	Radical_SAM,UPF0004
Csc_00029	411468.CLOSCI_00029	2.14e-57	177.0	COG4472@1|root,COG4472@2|Bacteria,1VAC4@1239|Firmicutes,24QVQ@186801|Clostridia,220RK@1506553|Lachnoclostridium	186801|Clostridia	S	Belongs to the UPF0297 family	yrzL	-	-	-	-	-	-	-	-	-	-	-	DUF965
Csc_00030	411468.CLOSCI_00030	3.66e-94	275.0	COG0816@1|root,COG0816@2|Bacteria,1V6ER@1239|Firmicutes,24JGP@186801|Clostridia,2206E@1506553|Lachnoclostridium	186801|Clostridia	J	Could be a nuclease involved in processing of the 5'-end of pre-16S rRNA	yrrK	-	-	ko:K07447	-	-	-	-	ko00000,ko01000	-	-	-	RuvX
Csc_00031	411468.CLOSCI_00031	1.21e-49	158.0	2E3Y4@1|root,32YV4@2|Bacteria,1VFRH@1239|Firmicutes,24QXW@186801|Clostridia,2218I@1506553|Lachnoclostridium	186801|Clostridia	S	Protein of unknown function (DUF1292)	-	-	-	-	-	-	-	-	-	-	-	-	DUF1292
Csc_00032	411468.CLOSCI_00032	3.95e-108	311.0	COG0735@1|root,COG0735@2|Bacteria,1V7F0@1239|Firmicutes,24JQE@186801|Clostridia,220I3@1506553|Lachnoclostridium	186801|Clostridia	P	Belongs to the Fur family	fur	-	-	ko:K03711	-	-	-	-	ko00000,ko03000	-	-	-	FUR
Csc_00033	411468.CLOSCI_00033	0.0	1091.0	COG0595@1|root,COG0595@2|Bacteria,1TQ9G@1239|Firmicutes,2488J@186801|Clostridia,21Y6M@1506553|Lachnoclostridium	186801|Clostridia	J	An RNase that has 5'-3' exonuclease and possibly endonuclease activity. Involved in maturation of rRNA and in some organisms also mRNA maturation and or decay	rnj	-	-	ko:K12574	ko03018,map03018	-	-	-	ko00000,ko00001,ko01000,ko03019	-	-	-	Lactamase_B,Lactamase_B_2,RMMBL
Csc_00034	411468.CLOSCI_00034	7.74e-146	411.0	COG4122@1|root,COG4122@2|Bacteria,1UF4M@1239|Firmicutes,24B70@186801|Clostridia,21YTV@1506553|Lachnoclostridium	186801|Clostridia	S	O-methyltransferase	yrrM	-	-	-	-	-	-	-	-	-	-	-	Methyltransf_3
Csc_00035	411468.CLOSCI_00035	1.41e-305	832.0	COG0826@1|root,COG0826@2|Bacteria,1TPRE@1239|Firmicutes,248I3@186801|Clostridia,21Y1M@1506553|Lachnoclostridium	186801|Clostridia	O	Peptidase family U32 C-terminal domain	yhbU_1	-	-	ko:K08303	ko05120,map05120	-	-	-	ko00000,ko00001,ko01000,ko01002	-	-	-	Peptidase_U32,Peptidase_U32_C
Csc_00036	411468.CLOSCI_00036	4.45e-233	643.0	COG3641@1|root,COG3641@2|Bacteria,1UNZM@1239|Firmicutes,24A9C@186801|Clostridia,21ZAC@1506553|Lachnoclostridium	186801|Clostridia	S	Psort location CytoplasmicMembrane, score 9.99	pfoR	-	-	-	-	-	-	-	-	-	-	-	PTS_EIIC_2
Csc_00037	411468.CLOSCI_00038	3.72e-202	560.0	COG2204@1|root,COG2204@2|Bacteria,1UK3Y@1239|Firmicutes,25FIV@186801|Clostridia,2200Z@1506553|Lachnoclostridium	186801|Clostridia	T	Psort location Cytoplasmic, score 8.87	-	-	-	ko:K07719	ko02020,map02020	M00518	-	-	ko00000,ko00001,ko00002,ko02022	-	-	-	Response_reg,YcbB
Csc_00038	553973.CLOHYLEM_04798	9.84e-161	466.0	COG4191@1|root,COG4191@2|Bacteria,1UHS4@1239|Firmicutes,25FIU@186801|Clostridia,223PN@1506553|Lachnoclostridium	186801|Clostridia	T	ATPase histidine kinase DNA gyrase B HSP90 domain protein	-	-	2.7.13.3	ko:K07717	ko02020,map02020	M00518	-	-	ko00000,ko00001,ko00002,ko01000,ko01001,ko02022	-	-	-	HATPase_c
Csc_00039	411468.CLOSCI_00041	2.31e-141	399.0	COG1191@1|root,COG1191@2|Bacteria,1TPJ5@1239|Firmicutes,247XH@186801|Clostridia,21XX1@1506553|Lachnoclostridium	186801|Clostridia	K	Sigma factors are initiation factors that promote the attachment of RNA polymerase to specific initiation sites and are then released	sigK	-	-	ko:K03091	-	-	-	-	ko00000,ko03021	-	-	-	Sigma70_r2,Sigma70_r4
Csc_00040	1410632.JHWW01000005_gene866	1.7e-21	85.1	2B748@1|root,3205B@2|Bacteria,1UE7V@1239|Firmicutes,25J30@186801|Clostridia,27T5Q@186928|unclassified Lachnospiraceae	186801|Clostridia	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Csc_00041	411468.CLOSCI_00043	0.0	1326.0	COG0457@1|root,COG0457@2|Bacteria,1TPP8@1239|Firmicutes,24DJT@186801|Clostridia,21ZVY@1506553|Lachnoclostridium	186801|Clostridia	S	Domain of unknown function (DUF5107)	-	-	-	-	-	-	-	-	-	-	-	-	DUF5107,TPR_16,TPR_8
Csc_00042	411468.CLOSCI_00044	0.0	994.0	COG0606@1|root,COG0606@2|Bacteria,1TPPB@1239|Firmicutes,248T8@186801|Clostridia,21Y1Q@1506553|Lachnoclostridium	186801|Clostridia	O	chelatase, subunit ChlI	comM	-	-	ko:K07391	-	-	-	-	ko00000	-	-	-	ChlI,Mg_chelatase,Mg_chelatase_C
Csc_00043	411468.CLOSCI_00045	1.9e-261	716.0	COG0758@1|root,COG0758@2|Bacteria,1TPP7@1239|Firmicutes,24AS2@186801|Clostridia,21XEU@1506553|Lachnoclostridium	186801|Clostridia	LU	DNA protecting protein DprA	dprA	-	-	ko:K04096	-	-	-	-	ko00000	-	-	-	DNA_processg_A
